Plant,Category,Subcategory
Apple (Malus domestica),Fruit Trees
Asian pear,Fruit Trees
Loquat (Japanese medlar),Fruit Trees
Common medlar,Fruit Trees
Pear,Fruit Trees
Quince,Fruit Trees
Citron,Fruit Trees
Grapefruit,Fruit Trees
Lemon,Fruit Trees
Lime,Fruit Trees
Orange,Fruit Trees
Pomelo,Fruit Trees
Almond,Fruit Trees
Cashew,Fruit Trees
Chestnut,Fruit Trees
Hazelnut,Fruit Trees
Macadamia,Fruit Trees
Pecan (Carya illinoinensis),Fruit Trees
Pistachio,Fruit Trees
Walnut,Fruit Trees
Açaí palm (Euterpe oleracea),Fruit Trees
American-oil palm,Fruit Trees
Apricot,Fruit Trees
Babacu,Fruit Trees
Banana (Musa spp.),Fruit Trees
Breadfruit,Fruit Trees
Calabash,Fruit Trees
Cherry,Fruit Trees
Cocopalm,Fruit Trees
Durian (Durio spp.),Fruit Trees
Ensete,Fruit Trees
Fig,Fruit Trees
Ice-cream bean,Fruit Trees
Jackfruit,Fruit Trees
Mango,Fruit Trees
Panama-hat palm,Fruit Trees
Papaya (Carica papaya),Fruit Trees
Passionfruit,Fruit Trees
Peach and Nectarine,Fruit Trees
Peach palm (Bactris gasipaes),Fruit Trees
Plum,Fruit Trees
Sapodilla,Fruit Trees
Tucuma,Fruit Trees
Barley,Cereals
Finger millet,Cereals
Fonio,Cereals
Foxtail millet,Cereals
Little barley (Hordeum pusillum, central US pre-Columbian),Cereals
Maize (called corn in the U.S.),Cereals
Maygrass (Phalaris caroliniana, central US pre-Columbian),Cereals
Pearl millet,Cereals
Proso millet,Cereals
Oats,Cereals
Rice,Cereals
Rye,Cereals
Sorghum,Cereals
Spelt,Cereals
Teff (also tef),Cereals
Triticale (Secalotriticum spp.) – a hybrid between wheat and rye,Cereals
Wheat,Cereals
Bread wheat (Triticum aestivum),Cereals
Pasta or Durum wheat (Triticum durum),Cereals
Einkorn wheat (Triticum monococcum),Cereals
Amaranth,Cereals
Buckwheat,Cereals
Job's tears,Cereals
Knotweed bristlegrass (erect knotweed, New World),Cereals
Pitseed goosefoot (Chenopodium berlandieri, central US pre-Columbian),Cereals
Quinoa,Cereals
Sunflower (Helianthus annuus),Cereals
Marshelder (sumpweed, Iva annua, central US pre-Columbian),Cereals
Beans – eaten dry as pulses or fresh as vegetables,Legumes
Azuki bean (Vigna angularis),Legumes
Black-eyed pea (Vigna unguiculata),Legumes
Chickpea (Cicer arietinum),Legumes
Common bean (Phaseolus spp., including pinto bean, kidney bean, runner bean, Lima bean, and others),Legumes
Lentil (Lens culinaris),Legumes
Velvet bean (Mucuna pruriens),Legumes
Moth bean -(Vigna aconitifolia),Legumes
Mung bean (Vigna radiata),Legumes
Pea (Pisum sativum),Legumes
